target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('crushing', 'long', 'middlegame', 'kingsideAttack')",1959.904296875,5rk1/ppN3p1/7p/4p1q1/3Pn3/1P2P2P/P1P2RP1/2RQ2K1 b - - 0 22,f8f2,True,False,False,,,
"('long', 'advantage', 'opening')",1581.7470703125,r1bq1rk1/pp3p1p/5np1/1Pb3Q1/3N4/3p4/PB1P1PPP/R2B1RK1 b - - 1 16,c5d4,True,True,False,"['opening', 'advantage', 'short']",True,c5d4 b2d4 d8d4
"('long', 'middlegame', 'advantage', 'quietMove')",1652.697265625,r1b3k1/p2qr3/3bp2Q/3p1p2/2pP4/2PB4/P1P1RPPP/4R1K1 w - - 0 22,e2e3,True,False,False,,,
"('advantage', 'short', 'opening')",1306.7236328125,r1bqkr2/bpppn1p1/p6p/3PP1B1/8/8/PP3PPP/RN1Q1RK1 w q - 2 14,d1h5,True,False,False,,,
"('middlegame', 'short', 'mate', 'mateIn2', 'kingsideAttack', 'pin', 'sacrifice')",1831.169921875,2r1r1k1/pQ3ppp/8/2bR1qB1/6b1/2N5/PP3PPP/5RK1 b - - 6 18,f5f2,True,True,False,"['middlegame', 'mateIn2', 'mate', 'sacrifice', 'pin', 'kingsideAttack', 'short']",True,f5f2 f1f2 e8e1
"('advantage', 'endgame', 'short')",1368.896484375,6k1/2q2ppp/2Np4/1N1P4/1QK1n3/1P5P/2r3P1/8 w - - 7 38,c4d3,True,False,False,,,
"('crushing', 'long', 'endgame', 'fork')",885.04541015625,8/4Pk2/5P2/1Pb1P1K1/6p1/5bP1/3R4/8 b - - 0 63,c5e3,True,True,False,"['endgame', 'advantage', 'fork', 'short']",True,c5e3 g5f5 e3d2
"('crushing', 'long', 'endgame', 'rookEndgame')",1648.30859375,R7/8/8/5p1p/r3p2P/Pk3P2/4K3/8 w - - 1 49,a8a4,True,False,False,,,
"('crushing', 'endgame', 'short', 'advancedPawn')",2072.546875,8/3k4/1P2rp1p/8/P1N3PP/1K6/8/8 w - - 1 62,b6b7,True,False,False,,,
"('short', 'mate', 'mateIn2', 'opening')",1727.3046875,r2k1b1r/pp3pp1/4p3/1Bp2b2/3n4/1PP1KNP1/P2P2Pn/RNBQ3R b - - 3 21,h2g4,True,False,False,,,
