target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('endgame', 'mate', 'master', 'mateIn1', 'oneMove')",791.0546875,5r1k/p1Q3pp/5p2/2P1p3/5n2/1N4R1/PP3P1q/5K2 w - - 1 28,c7g7,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",True,c7g7
"('middlegame', 'advantage', 'short', 'pin')",1437.65234375,2rq1rk1/pp3ppp/2n5/8/1b1PQ1PP/2P5/PP3PP1/RNB1K1NR b KQ - 0 12,f8e8,True,True,False,"['opening', 'advantage', 'pin', 'short']",False,f8e8 e4e2 c6d4
"('middlegame', 'short', 'mate', 'mateIn2', 'interference', 'discoveredAttack')",1294.2890625,rb1q3r/pp1bNkpQ/2nBp3/1B1n1p2/3Pp3/2P5/PP1N1PP1/R3K2R w KQ - 2 22,h7g6,True,False,False,,,
"('middlegame', 'short', 'mate', 'mateIn2')",2012.568359375,r6r/p4pk1/2p1bp2/1pb1P3/4P3/P1BB4/1PP3P1/R3RK2 b - - 0 25,e6g4,True,False,True,,,
"('crushing', 'middlegame', 'short', 'kingsideAttack', 'discoveredAttack')",1000.9794921875,3r2k1/5ppp/p3p3/1p1bq2n/4B3/P3QP2/1PP1N1PP/R5K1 w - - 3 26,e4h7,True,True,False,"['middlegame', 'crushing', 'discoveredAttack', 'kingsideAttack', 'short']",True,e4h7 g8h7 e3e5
"('endgame', 'mate', 'mateIn1', 'oneMove', 'backRankMate')",525.9971923828125,4k3/6pN/4bp1p/3pN3/R1rP1P2/8/5PPP/6K1 b - - 0 40,c4c1,True,False,False,,,
"('advantage', 'endgame', 'short')",1870.66796875,4r2r/p2Rbk2/6p1/1ppn1p1p/7P/2P2P2/PP2KP2/3Q4 w - - 0 25,d1d5,True,False,False,,,
"('long', 'middlegame', 'mate', 'kingsideAttack', 'sacrifice', 'attraction', 'mateIn3')",1230.6533203125,r5kr/ppp2p2/3p1q2/2bP2p1/8/3B1QP1/PPP3PP/R3R2K b - - 4 18,h8h2,True,False,False,,,
"('crushing', 'long', 'middlegame')",1436.9208984375,r2qr1k1/2p2ppp/p7/1p1p1Q2/3Pn3/8/PP1NB1PP/R3K2R b KQ - 0 16,d8h4,True,False,False,,,
"('long', 'middlegame', 'advantage', 'defensiveMove')",1586.8671875,3bqrk1/Q2R1ppp/p7/2p5/2N1b3/4P3/PPr3BP/3K2R1 w - - 1 20,c4d6,True,False,False,,,
"('middlegame', 'advantage', 'short', 'master')",1275.271484375,r2q1rk1/pp1b2pp/2nPpp2/3nN1B1/3P3Q/3B4/P4PPP/R4RK1 b - - 1 20,f6g5,True,False,False,,,
"('crushing', 'endgame', 'short', 'rookEndgame', 'advancedPawn')",1605.1533203125,8/1p5p/r1p1P1p1/5k2/5P2/1K4P1/4R2P/8 w - - 1 40,e2e5,True,False,False,,,
"('long', 'middlegame', 'advantage', 'master')",1644.6513671875,2r3r1/3bkp1p/p1q1pp2/1p6/5P1Q/1B2P2P/PPR3P1/3R2K1 b - - 2 28,c6c2,True,False,False,,,
"('crushing', 'endgame', 'short', 'fork')",908.0859375,8/p1r2pk1/2p5/5R1P/6n1/1P4P1/P2r1P2/5RK1 w - - 1 39,f5g5,True,False,False,,,
"('crushing', 'long', 'middlegame')",1733.15625,r4r1k/p1p2ppp/1p1p4/2qn4/3Q4/5N2/PPP2PPP/R4RK1 w - - 1 17,d4e4,True,False,True,,,
"('middlegame', 'advantage', 'veryLong', 'quietMove', 'trappedPiece')",1864.0849609375,r4rk1/p2qBppp/2pp4/4p3/2P5/4P3/PP1Q1PPP/3n1RK1 w - - 0 16,e7f8,True,False,False,,,
"('crushing', 'endgame', 'short', 'master', 'skewer')",942.82958984375,8/3r3p/4k3/2p3p1/1pKbBpP1/1P3P2/P1R2P2/8 w - - 6 42,e4f5,True,True,False,"['endgame', 'advantage', 'skewer', 'short']",True,e4f5 e6d6 f5d7
"('crushing', 'endgame', 'short', 'rookEndgame', 'master', 'skewer')",852.86181640625,6R1/8/5p2/5p1k/5P1P/5PK1/8/2r5 b - - 62 84,c1g1,True,True,False,"['endgame', 'crushing', 'skewer', 'rookEndgame', 'short']",True,c1g1 g3f2 g1g8
"('middlegame', 'mate', 'kingsideAttack', 'mateIn1', 'oneMove')",1138.12548828125,2k3rr/pbp1b3/1pq1NR1p/1N4p1/2P4B/3B4/PP4PP/R2Q2K1 b - - 0 17,c6g2,True,False,False,,,
"('long', 'middlegame', 'advantage', 'fork')",1444.966796875,3r1rk1/5ppp/p4p2/1p2q3/2PB4/P3PP1Q/B2K3P/R7 b - - 2 28,d8d4,True,False,False,,,
"('long', 'advantage', 'endgame', 'advancedPawn', 'promotion')",2479.23046875,6k1/5bpp/p7/1pP3q1/3NP3/2P1n2P/P3R1P1/3R2K1 w - - 1 30,c5c6,True,False,False,,,
"('middlegame', 'advantage', 'short')",1706.82421875,2k2r2/pp4pp/2n1pn2/1P6/2q3b1/4B3/P2Q1PPP/R4RK1 w - - 0 19,b5c6,True,False,False,,,
"('middlegame', 'mate', 'kingsideAttack', 'mateIn1', 'oneMove')",1207.978515625,r4rk1/1pp2ppp/p1n2b2/3qp1N1/8/PP2P2P/1BQP1PP1/2R1K2R w K - 4 16,c2h7,True,True,False,"['middlegame', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",True,c2h7
"('crushing', 'endgame', 'veryLong', 'quietMove', 'deflection', 'attraction')",2539.208984375,Q7/5pkp/pp1P2p1/2b4r/8/6Pq/P4P1P/1R1R2K1 b - - 6 30,c5f2,True,False,False,,,
"('endgame', 'mate', 'mateIn1', 'oneMove')",1485.1962890625,1kr5/p1R1Q1p1/7p/1qN1P3/5P2/P1p5/1PP4P/1K6 b - - 0 38,b5b2,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",True,b5b2
"('middlegame', 'short', 'mate', 'mateIn2')",1845.798828125,8/1p2r2k/1p3Qpp/3b3q/2B2P2/2B3K1/PP3R2/R7 b - - 8 38,e7e3,True,False,False,,,
"('crushing', 'hangingPiece', 'endgame', 'short')",1802.6435546875,7r/3rkp2/p1bRp1p1/2p1P2p/2P1p2P/P3P3/4BPPK/3R4 w - - 1 26,d6c6,True,False,False,,,
"('crushing', 'endgame', 'short', 'master')",1573.701171875,8/8/kp6/p1qQn1pp/P1p1Pp2/1PR2P1P/6P1/7K b - - 2 41,c5d5,True,False,False,,,
"('middlegame', 'mate', 'master', 'mateIn1', 'oneMove')",814.82666015625,6B1/2p3r1/1p4pk/p3Qp1p/1bP2P1P/1P4PK/P5RR/3q4 b - - 12 48,d1g4,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",True,d1g4
"('crushing', 'long', 'endgame', 'pawnEndgame')",1112.1591796875,8/8/3kPpp1/4pP1p/4K3/6PP/8/8 w - - 0 52,f5g6,True,False,False,,,
"('middlegame', 'advantage', 'short')",1559.8037109375,3rb1Q1/1k6/p1Rqp1p1/1p1pNr2/3P4/P6P/1P3PP1/R5K1 b - - 10 29,d6c6,True,False,False,,,
"('endgame', 'short', 'rookEndgame', 'mate', 'mateIn2')",1169.2119140625,8/1p6/p2R2pp/P3pk2/1r2p3/4P1PK/5PP1/8 w - - 0 42,g3g4,True,False,False,,,
"('middlegame', 'mate', 'mateIn1', 'oneMove')",866.02783203125,r5k1/4Qp1q/2p3p1/3p4/3P1n2/2P5/1r3B1N/4RKR1 b - - 0 31,h7h3,True,False,False,,,
