target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('crushing', 'long', 'endgame', 'pawnEndgame')",1501.2880859375,8/8/5k1P/pp1p1P2/5K2/1P6/2P5/8 b - - 0 41,a5a4,True,False,False,,,
"('long', 'advantage', 'opening')",1488.1220703125,r2q1rk1/ppp1bppp/5n2/1B2n3/6b1/2N2N2/PPP3PP/R1BQ1RK1 w - - 0 10,d1d8,True,True,False,"['opening', 'advantage', 'long']",True,d1d8 e5f3 g2f3 a8d8 f3g4
"('long', 'middlegame', 'advantage')",2113.5078125,3k1b1r/1r6/q2p1N1p/3PpP1b/2Q5/B6B/P4P1P/2R3K1 b - - 0 27,b7g7,True,False,False,,,
"('crushing', 'endgame', 'short', 'pawnEndgame', 'defensiveMove')",1431.80078125,8/8/1Pk5/3p4/3Kp3/8/6P1/8 b - - 2 48,c6b6,True,True,False,"['endgame', 'advantage', 'pawnEndgame', 'short']",False,c6b6 d4d5 e4e3
"('middlegame', 'short', 'mate', 'mateIn2')",1597.8388671875,7r/Pk2bp2/1B1p4/2p1p1p1/2P1P1K1/1QNP1Pp1/1P2N2q/R4R2 b - - 2 27,h8h4,True,False,False,,,
"('crushing', 'endgame', 'pawnEndgame', 'veryLong', 'advancedPawn', 'promotion')",814.09521484375,8/8/8/7K/6Pp/7k/8/8 b - - 1 67,h3g3,True,True,False,"['endgame', 'crushing', 'advancedPawn', 'promotion', 'pawnEndgame', 'veryLong']",True,h3g3 g4g5 h4h3 g5g6 h3h2 g6g7 h2h1q
"('middlegame', 'short', 'mate', 'mateIn2')",972.81884765625,r1bqrk2/4pp1p/p2p2p1/1p2nNQ1/4P3/6P1/P1P2PBP/1R3RK1 w - - 2 23,g5h6,True,True,False,"['middlegame', 'mateIn2', 'mate', 'short']",True,g5h6 f8g8 h6g7
"('endgame', 'short', 'rookEndgame', 'mate', 'mateIn2')",584.969970703125,2k5/2p5/p1P5/1p1P3R/1P6/5rpp/P1K5/8 w - - 0 46,h5h8,True,True,False,"['endgame', 'mateIn2', 'mate', 'rookEndgame', 'short']",True,h5h8 f3f8 h8f8
"('crushing', 'endgame', 'rookEndgame', 'interference', 'veryLong', 'exposedKing', 'deflection')",1600.033203125,8/2p4p/8/p1pk1P2/P1R3Pr/2K5/7P/8 b - - 0 33,h4h3,True,False,False,,,
"('long', 'middlegame', 'advantage', 'kingsideAttack')",2024.271484375,r4rk1/pp1qp3/3p4/2p1R1B1/2P4P/3P1p1b/PP3P2/3QR1KB b - - 0 23,d7g4,True,True,False,"['middlegame', 'crushing', 'short']",False,d7g4 g1h2 h3g2
"('long', 'middlegame', 'advantage')",2359.2734375,r5k1/2p3pp/b5q1/p1b1pr2/2PN4/1PN5/P4QPP/R4RK1 w - - 0 23,f2f5,True,False,False,,,
"('middlegame', 'advantage', 'short')",1295.751953125,r1br2k1/pp2ppbp/2n3p1/q2N4/3P4/P1NQPP2/1P3KPP/R4B1R b - - 0 16,d8d5,True,False,False,,,
"('endgame', 'mate', 'master', 'mateIn1', 'oneMove', 'masterVsMaster')",1017.0712890625,1rb5/Q7/3q1kp1/3B3p/Pp3P1P/1Pp3P1/2P4K/8 w - - 0 38,a7f7,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",True,a7f7
