target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('long', 'middlegame', 'advantage', 'exposedKing', 'defensiveMove')",2265.6484375,r5k1/1b1q1rbR/p2pp3/6PQ/3pP3/3P4/PpP2PB1/1K6 w - - 0 27,g5g6,True,False,False,,,
"('crushing', 'long', 'middlegame', 'discoveredAttack', 'sacrifice')",2050.603515625,1r4k1/pb3ppp/1b6/1Q6/8/PN6/1Pq2PPP/R4RK1 b - - 0 22,c2b3,True,False,False,,,
"('crushing', 'endgame', 'short')",1148.7314453125,3R4/5p1k/2p1p1pp/1pP1P3/1P3P2/3Q2PP/6K1/r6q w - - 8 59,g2f2,True,False,False,,,
"('crushing', 'endgame', 'pawnEndgame', 'veryLong', 'quietMove')",2236.390625,8/2k5/4p2p/2K1P1p1/5p1P/1P6/6P1/8 b - - 0 40,f4f3,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2')",1105.94189453125,r5k1/p7/1p1p1rpQ/2p4p/P1q5/8/6KP/4R3 w - - 0 32,e1e8,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2')",710.96142578125,7k/pq4p1/1p4Bp/2p2r2/P7/1PPQ3P/3P3K/8 w - - 0 38,d3d8,True,False,False,,,
"('middlegame', 'advantage', 'short')",1861.1591796875,r1b1k2r/pp2n2p/3bp1p1/3pNp1Q/3P1P2/2q1B3/P2N2PP/RR4K1 w kq - 0 18,h5h3,True,False,True,,,
"('endgame', 'mate', 'mateIn1', 'oneMove', 'backRankMate')",557.9979248046875,7k/ppr3pp/3p4/3Bp3/2P5/2PP2nP/P7/5RK1 w - - 0 31,f1f8,True,True,False,"['endgame', 'mateIn1', 'mate', 'backRankMate', 'oneMove']",True,f1f8
"('crushing', 'middlegame', 'short', 'fork')",975.01318359375,3r2k1/p1p1q1pp/3b4/1P1Pn3/p1P1Np2/P4P2/1Q3P1P/4RRK1 b - - 1 24,e5f3,True,False,False,,,
"('mate', 'mateIn1', 'oneMove', 'opening')",788.8603515625,r1bq1bnr/ppp1k3/2np3p/6pQ/2BPPp2/2P5/PP1N2PP/R1B2RK1 w - - 2 11,h5f7,True,True,False,"['opening', 'mateIn1', 'mate', 'oneMove']",True,h5f7
"('endgame', 'mate', 'mateIn1', 'oneMove')",472.00738525390625,8/6k1/1p3pp1/p3p2p/P3B2K/1P1RP1P1/1r6/8 b - - 1 39,b2h2,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",True,b2h2
"('middlegame', 'mate', 'master', 'mateIn1', 'oneMove')",1395.9599609375,1k1r4/ppp2p2/8/nP5Q/P6N/2P3P1/5qBp/R3N2K b - - 0 28,f2g1,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",True,f2g1
"('middlegame', 'mate', 'master', 'mateIn1', 'oneMove', 'discoveredAttack')",1354.9990234375,r1br4/p4p1p/2p1nQpk/3pR3/3q4/5P2/P5P1/1B3R1K w - - 2 27,e5e6,True,False,True,,,
"('middlegame', 'advantage', 'short')",1298.677734375,r1b2r2/ppp2kbn/2np1q1B/8/3PP3/2N3R1/PPPQBPP1/2KR4 b - - 4 14,g7h6,True,False,False,,,
"('crushing', 'long', 'endgame', 'fork', 'quietMove')",1880.908203125,k1r5/1p3p2/p7/Kp5Q/2b5/P7/1P4P1/8 b - - 5 44,c4b3,True,False,False,,,
"('crushing', 'long', 'endgame', 'pawnEndgame', 'defensiveMove')",2815.6953125,8/5pp1/1p6/p2k3p/1P2p3/4K1PP/P4P2/8 w - - 0 41,b4a5,True,False,True,,,
"('crushing', 'long', 'endgame', 'rookEndgame', 'defensiveMove')",1166.2861328125,8/8/3r3p/3k2pP/2R3P1/3K4/8/8 w - - 3 51,c4d4,True,False,False,,,
"('crushing', 'endgame', 'pawnEndgame', 'veryLong')",2116.43359375,8/8/ppk2ppp/3p4/PP1K1PPP/8/8/8 w - - 1 41,h4h5,True,False,False,,,
"('middlegame', 'advantage', 'veryLong', 'discoveredAttack')",2148.6171875,rk4r1/1p2nn1p/p2pq3/5R2/1P3R2/P3B2Q/5P1P/7K w - - 3 31,e3a7,True,False,False,,,
"('hangingPiece', 'middlegame', 'mate', 'kingsideAttack', 'mateIn1', 'oneMove')",909.91455078125,r1b2r1k/p1q2p1p/1ppp1p1Q/8/4P3/3P4/P1P2PPP/1R3RK1 w - - 0 21,h6f8,True,True,False,"['middlegame', 'mateIn1', 'mate', 'hangingPiece', 'kingsideAttack', 'oneMove']",True,h6f8
"('long', 'advantage', 'endgame', 'exposedKing', 'defensiveMove')",2659.166015625,6k1/pp3p2/7p/3P1Qp1/2P4b/1P1rq2P/P7/2R3RK b - - 1 28,d3h3,True,False,True,,,
"('crushing', 'long', 'endgame')",1355.73046875,6k1/2qB1p2/1r5p/3p2p1/P2Qn1P1/4PN1P/5PK1/8 w - - 3 39,d4e5,True,False,False,,,
"('long', 'advantage', 'endgame', 'exposedKing', 'deflection', 'advancedPawn', 'promotion', 'knightEndgame', 'defensiveMove')",2372.439453125,4N3/2p5/2k4K/4pn2/8/8/8/8 w - - 3 48,h6g5,True,False,True,,,
"('advantage', 'endgame', 'short')",1556.8779296875,2rQ3k/p5p1/7p/n7/8/P1p4P/4qPP1/1R1R2K1 b - - 1 35,c8d8,True,True,False,"['endgame', 'advantage', 'short']",True,c8d8 d1d8 h8h7
"('crushing', 'endgame', 'short', 'pin')",1103.01611328125,5q1k/BR2n2p/7b/4p3/8/5P2/P4P1P/5RK1 w - - 1 27,b7b8,True,False,False,,,
"('crushing', 'middlegame', 'short', 'pin')",1412.0517578125,r2qr1k1/1p1b2b1/p2p2Qp/2pP4/P1P1n3/7P/1P4PN/R1B2RK1 w - - 0 22,c1h6,True,False,False,,,
"('crushing', 'endgame', 'rookEndgame', 'veryLong', 'advancedPawn')",1396.69140625,8/p7/2p3RP/3p4/p2P4/5k2/7K/2r5 w - - 0 49,g6g3,True,False,False,,,
"('hangingPiece', 'endgame', 'mate', 'mateIn1', 'oneMove')",421.99481201171875,3r2k1/1b3ppp/1p2p3/pPp1Bn1P/P1P2P2/4P3/4B1P1/3R2K1 w - - 2 28,d1d8,True,True,False,"['endgame', 'mateIn1', 'mate', 'hangingPiece', 'oneMove']",True,d1d8
"('crushing', 'long', 'master', 'opening', 'masterVsMaster', 'enPassant')",2344.64453125,r3k1nr/p4ppp/3bp3/2p1q3/3p4/2N1B1Pb/PPP2P1P/R2QR1K1 w kq - 2 13,e3f4,True,False,False,,,
"('crushing', 'endgame', 'short', 'skewer')",652.080078125,8/p4p2/r4k2/P3pp1p/2p4P/1b4P1/3R3K/1R6 w - - 2 45,d2d6,True,False,False,,,
"('crushing', 'long', 'middlegame', 'exposedKing', 'deflection')",1256.25390625,2rk4/pb1p1Bpp/1p1P4/8/5B2/5rP1/P3KR1P/8 b - - 6 29,c8c2,True,False,False,,,
"('advantage', 'short', 'fork', 'opening')",780.0830078125,r1b2rk1/bp3ppp/p1n3q1/3Np1N1/2B3n1/8/PPP2PPP/R2Q1RK1 w - - 5 13,d5e7,True,False,True,,,
"('crushing', 'endgame', 'short', 'quietMove', 'knightEndgame', 'defensiveMove')",2243.705078125,8/1k6/1P3p2/2K1pP2/6p1/4N3/8/1n6 w - - 0 49,c5b5,True,False,False,,,
"('crushing', 'middlegame', 'short')",1116.18212890625,3rr1k1/ppq2pp1/2p2n1p/4p3/3P1Bb1/1PPB2Q1/P4PPP/R4RK1 w - - 0 20,f4e5,True,False,False,,,
"('crushing', 'long', 'endgame', 'rookEndgame', 'skewer')",1055.1064453125,8/7P/2p3R1/3k1p2/3P4/7K/8/3r4 b - - 0 56,d1h1,True,True,False,"['endgame', 'advantage', 'skewer', 'rookEndgame', 'short']",True,d1h1 h3g3 h1h7
"('crushing', 'long', 'middlegame', 'sacrifice', 'intermezzo')",2583.095703125,2r5/p1r1ppkp/1p1b1qp1/n7/8/1P2NB1Q/P4PPP/3RR1K1 w - - 8 26,e3d5,True,False,False,,,
"('crushing', 'endgame', 'short', 'fork')",946.12109375,R7/5p2/p3k1pp/PpP5/2bp4/6P1/2P2PKP/8 b - - 1 33,c4d5,True,True,False,"['endgame', 'crushing', 'fork', 'short']",True,c4d5 f2f3 d5a8
"('crushing', 'endgame', 'rookEndgame', 'veryLong', 'deflection')",1112.890625,8/PK3R2/3k4/7p/5p1P/r4P2/8/8 b - - 0 69,a3a7,True,False,False,,,
"('middlegame', 'mate', 'master', 'mateIn1', 'oneMove')",819.94677734375,r1b2rk1/1pp2p2/p3pq1Q/3n4/1b1P4/2NB4/PPP2PPP/R3K2R w KQ - 1 14,h6h7,True,False,False,,,
"('crushing', 'middlegame', 'short')",2211.521484375,1br1k2r/1p3pp1/p1nqpn2/3p1b1p/3P1N2/P1P1BB1P/1P3PPN/R2Q1RK1 b k - 6 15,g7g5,True,False,False,,,
"('crushing', 'middlegame', 'short', 'fork')",934.05224609375,4k2r/2q2pp1/2p1b2p/2Q1R3/p2p1P2/P2P1BP1/1rP2K1P/7R b k - 2 27,b2c2,True,False,False,,,
"('crushing', 'long', 'endgame', 'master')",2044.751953125,8/4k2p/5pp1/1p1Pp3/p1n3PP/P2KBP2/1P6/8 b - - 4 42,c4e3,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2', 'backRankMate')",464.0072021484375,1k1r4/pp4p1/2p5/8/8/2Q5/PP5P/K2B4 b - - 0 36,d8d1,True,True,False,"['endgame', 'mateIn2', 'mate', 'backRankMate', 'hangingPiece', 'short']",True,d8d1 c3c1 d1c1
"('advantage', 'endgame', 'veryLong')",999.15087890625,8/p1q1kpp1/1pN1p2p/1Q1n4/P2P1P2/4P1P1/1P2K2P/8 b - - 1 24,a7a6,True,False,False,,,
"('middlegame', 'short', 'mate', 'mateIn2', 'kingsideAttack')",987.08203125,r2q1r1k/ppp2p2/2n1p1n1/3pP3/3P4/2P3B1/PP3PPP/1BbQ1RK1 w - - 0 17,d1h5,True,False,False,,,
"('crushing', 'long', 'endgame', 'pin', 'capturingDefender')",1169.943359375,r4k2/8/p1p1P2p/5bp1/3N4/P7/1P3nP1/5RK1 w - - 1 28,d4f5,True,False,False,,,
"('hangingPiece', 'middlegame', 'advantage', 'short')",1955.515625,3r4/ppq2pkp/2p2np1/4N1Q1/4Pn2/2Pr2N1/PP3PPP/R3R1K1 w - - 5 20,g5f4,True,False,False,,,
"('endgame', 'mate', 'mateIn1', 'oneMove')",840.0615234375,6k1/Rr2R3/4p3/3b1p2/6p1/8/5P1r/5K2 w - - 0 39,e7e8,True,True,False,"['endgame', 'mateIn2', 'mate', 'short']",False,a7a8 b7b8 a8b8
"('middlegame', 'advantage', 'short', 'quietMove')",1914.5546875,r4rk1/3n1p1p/p2p2pQ/8/2qBPR2/3n2NP/6P1/5RK1 w - - 1 28,g3h5,True,False,False,,,
"('crushing', 'long', 'endgame', 'sacrifice', 'advancedPawn', 'defensiveMove')",1747.0537109375,8/8/8/2P2np1/R4pk1/3P4/2KN3r/8 b - - 12 49,f4f3,True,False,False,,,
"('crushing', 'long', 'endgame', 'fork')",1540.7861328125,8/5p1p/6n1/R4r2/6kP/6P1/5PK1/8 w - - 7 42,f2f3,True,False,False,,,
